Clip,Trick,Base_Points,Switch_Multiplier_Base_Pts,Spin_Multiplier_Trick_Total,Hold_Time_Sec,PAL_50_FPS_50_PTS_Sec,NTSC_60_FPS_60_PTS_Sec,Total_PAL_Points,Total_NTSC_Points
29,Frontside 180,18,,1.5,,50,60,0,0
29,Heelflip,100,,,,50,60,0,0
29,Kickflip,100,,,,50,60,0,0
29,Nollie ,200,,,,50,60,0,0
29,Switch frontside 180,18,1.2,1.5,,50,60,0,0
30,Backside 50-50,42,,,0.5,50,60,25,30
30,Kickflip,100,,,,50,60,0,0
30,Ollie,0,,,,50,60,0,0
31,Hill bomb,0,,,,50,60,0,0
31,Kickflip,100,,,,50,60,0,0
31,Ollie,0,,,,50,60,0,0
32,Switch backfoot impossible,100,1.2,,,50,60,0,0
33,Backside nosegrind,109,,,1.25,50,60,62.5,75
33,Switch backside 180,18,1.2,1.5,,50,60,0,0
34,Fakie ollie,0,,,,50,60,0,0
34,Kickflip,100,,,,50,60,0,0
34,Switch backside nosegrind,100,1.2,,1,50,60,50,60
35,Backside 180,18,,1.5,,50,60,0,0
35,Kickflip,100,,,,50,60,0,0
35,Nollie,200,,,,50,60,0,0
35,Nose manual,0,,,1,50,60,50,60
36,Hippie jump,150,,,,50,60,0,0
36,Nose manual,0,,,1.5,50,60,75,90
37,Kickflip,100,,,,50,60,0,0
37,Switch backside 180,18,1.2,1.5,,50,60,0,0
38,360 flip,500,,,,50,60,0,0
38,Nollie ,200,,,,50,60,0,0
39,Switch 360 flip,500,1.2,,,50,60,0,0
39,Switch ride off,0,1.2,,,50,60,0,0
40,Backside 50-50,42,,,0.5,50,60,25,30
41,Varial heelflip,300,,,,50,60,0,0
42,Frontside 180,18,,1.5,,50,60,0,0
42,Switch 360 shove-it,500,1.2,,,50,60,0,0
42,Switch backside 180,18,1.2,1.5,,50,60,0,0
43,Switch varial kickflip,300,1.2,,,50,60,0,0
44,Switch 360 shove-it,500,1.2,,,50,60,0,0
44,Switch backside 180,18,1.2,1.5,,50,60,0,0
45,360 shove-it,500,,,,50,60,0,0
45,Backside 180,18,,1.5,,50,60,0,0
45,Nollie ,200,,,,50,60,0,0
46,Backside 360,36,,2,,50,60,0,0
46,Kickflip,100,,,,50,60,0,0
46,Nollie ,200,,,,50,60,0,0
47,Switch backside 360,36,1.2,2,,50,60,0,0
47,Switch kickflip,100,1.2,,,50,60,0,0
